fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,VendorNbr,SkuNbr,Received Qty
2015,2,NOVEMBER,364514,79BL7030,16
2015,2,NOVEMBER,364514,79BL7250,80
2015,2,NOVEMBER,402059,6160456,12
2015,2,NOVEMBER,418043,75754713,528
2015,2,NOVEMBER,418043,78782064,60
2015,2,NOVEMBER,431615,9120097,280
2015,2,NOVEMBER,454231,5171001,900
2015,2,NOVEMBER,454231,5173012,800
2015,2,NOVEMBER,454231,5173050,120
2015,2,NOVEMBER,454231,5173057,390
2015,2,NOVEMBER,13348,5130027,335
2015,2,NOVEMBER,17911,70110017,1296
2015,2,NOVEMBER,17911,70113354,480
2015,2,NOVEMBER,23088,6142012,81
2015,2,NOVEMBER,48249,9150824,72
2015,2,NOVEMBER,200002,6160053,10
2015,2,NOVEMBER,200002,6167015,96
2015,2,NOVEMBER,200002,6168038,30
2015,2,NOVEMBER,200299,7161402,135
2015,2,NOVEMBER,200311,2115018,9903
2015,2,NOVEMBER,200311,2115040,5600
2015,2,NOVEMBER,200362,6160119,864
2015,2,NOVEMBER,200362,6160308,96
2015,2,NOVEMBER,200362,6160554,144
2015,2,NOVEMBER,200362,6160605,72
2015,2,NOVEMBER,200620,6156057,12
2015,2,NOVEMBER,200728,6160277,110
2015,2,NOVEMBER,200728,6164441,24
2015,2,NOVEMBER,201129,7161207,384
2015,2,NOVEMBER,501084,5130021,13
2015,2,NOVEMBER,502589,6146036,96
2015,2,NOVEMBER,201144,7161125,89
2015,2,NOVEMBER,201144,7161142,1746
2015,2,NOVEMBER,633203,9163016,96
2015,2,NOVEMBER,751650,4120011,448
2015,3,DECEMBER,2810,6140213,600
2015,3,DECEMBER,74425,6159180,700
2015,3,DECEMBER,192801,6110128,78
2015,3,DECEMBER,277875,70112084,996
2015,3,DECEMBER,277875,70119702,360
2015,3,DECEMBER,277875,70120264,144
2015,3,DECEMBER,277875,79NR0386,230
2015,3,DECEMBER,287501,4116015,602
2015,3,DECEMBER,364514,79BL7020,72
2015,3,DECEMBER,364514,79BL8880,432
2015,3,DECEMBER,364514,79CN2025,250
2015,3,DECEMBER,381195,6161642,296
2015,3,DECEMBER,418043,70128494,672
2015,3,DECEMBER,418043,78780006,600
2015,3,DECEMBER,418043,78781144,120
2015,3,DECEMBER,449776,6140085,1680
2015,3,DECEMBER,17911,70116002,852
2015,3,DECEMBER,17911,72723056,912
2015,3,DECEMBER,33778,6160359,30
2015,3,DECEMBER,48249,9164016,105
2015,3,DECEMBER,58829,6116031,650
2015,3,DECEMBER,59002,9150480,180
2015,3,DECEMBER,67590,1161022,4992
2015,3,DECEMBER,187101,4130095,17
2015,3,DECEMBER,200362,6160338,1296
2015,3,DECEMBER,200373,6159203,36
2015,3,DECEMBER,200587,6167038,430
2015,3,DECEMBER,200620,6156058,36
2015,3,DECEMBER,200627,1120060,123195
2015,3,DECEMBER,200633,7160242,17
2015,3,DECEMBER,200728,6161655,3600
2015,11,AUGUST,67590,1120056,5240
2015,11,AUGUST,187101,4130035,480
2015,11,AUGUST,200362,6160165,54
2015,11,AUGUST,200362,6160336,1620
2015,11,AUGUST,200373,6161609,72
2015,11,AUGUST,200515,79NR1996,50
2015,11,AUGUST,200627,1120014,25799
2015,11,AUGUST,201089,6165001,121
2015,11,AUGUST,201160,7168180,100
2015,11,AUGUST,403545,6150037,540
2015,11,AUGUST,501084,6182019,24
2015,11,AUGUST,751650,4110038,3348
2015,11,AUGUST,751650,4120019,520
2015,11,AUGUST,751650,4125005,100
2015,12,SEPTEMBER,71990,4110001,162
2015,12,SEPTEMBER,71990,4116022,324
2015,12,SEPTEMBER,182475,6164433,360
2015,12,SEPTEMBER,195736,5110074,48
2015,12,SEPTEMBER,224938,80807157,324
2015,12,SEPTEMBER,277875,70113614,336
2015,12,SEPTEMBER,356892,4125019,400
2015,12,SEPTEMBER,358316,2127012,2032
2015,12,SEPTEMBER,364514,79BL0010,16
2015,12,SEPTEMBER,418043,75754753,528
2015,12,SEPTEMBER,48249,9150299,150
2015,12,SEPTEMBER,67590,1127023,500
2015,12,SEPTEMBER,76005,9150833,312
2015,12,SEPTEMBER,187101,4130091,136
2015,12,SEPTEMBER,200002,6168043,19
2015,12,SEPTEMBER,200362,80807250,1320
2015,12,SEPTEMBER,200373,6161612,540
2015,12,SEPTEMBER,200515,70NR0066,25
2015,12,SEPTEMBER,200627,1120210,3980
2015,12,SEPTEMBER,200728,6160277,44
2015,12,SEPTEMBER,200728,6164424,48
2015,3,DECEMBER,201160,7160011,165
2015,3,DECEMBER,455075,6166014,462
2015,3,DECEMBER,501084,6164410,24
2015,3,DECEMBER,751650,4120020,418
2015,3,DECEMBER,INTNL1688,9150819,505
2015,4,JANUARY,2810,6147008,500
2015,4,JANUARY,67230,9140060,518
2015,4,JANUARY,239926,6160467,48
2015,4,JANUARY,277875,70119712,360
2015,4,JANUARY,356892,4125036,1700
2015,4,JANUARY,364514,79BL0910,144
2015,4,JANUARY,378233,2110070,1
2015,4,JANUARY,402059,6160050,776
2015,4,JANUARY,418043,70111024,144
2015,4,JANUARY,418043,78785813,144
2015,4,JANUARY,17911,74742233,240
2015,4,JANUARY,22350,7160091,1400
2015,4,JANUARY,48249,9110071,40
2015,4,JANUARY,49070,6160174,192
2015,4,JANUARY,187101,4130010,80
2015,4,JANUARY,187101,4130019,128
2015,4,JANUARY,200002,1160010,170
2015,4,JANUARY,200228,4120009,675
2015,4,JANUARY,200299,7161403,45
2015,4,JANUARY,200311,2115034,58586
2015,4,JANUARY,200353,4146031,210
2015,4,JANUARY,200362,6160165,216
2015,4,JANUARY,200373,6161609,36
2015,4,JANUARY,200515,79NR0265,100
2015,4,JANUARY,200515,79NR0456,100
2015,4,JANUARY,200520,4140114,525
2015,4,JANUARY,200654,6181540,216
2015,4,JANUARY,200728,6182008,132
